Designator,Mid X,Mid Y,Rotation,Layer
C1,144.2,-99.9,90.0,top
C10,143.9,-114.0,270.0,top
C11,139.9,-113.9,90.0,top
C12,137.0,-110.1,270.0,top
C13,134.9,-110.1,270.0,top
C14,132.0,-113.9,270.0,top
C15,128.0,-114.0,90.0,top
C16,125.5,-110.2,270.0,top
C17,136.1,-106.172,270.0,top
C18,141.5,-100.33,270.0,top
C19,127.349,-96.075,90.0,top
C2,146.1,-99.6,90.0,top
C20,140.208,-94.996,180.0,top
C21,135.6,-92.582,180.0,top
C22,130.9,-91.4,270.0,top
C23,127.254,-88.646,270.0,top
C3,148.1,-99.6,270.0,top
C4,150.1,-99.6,90.0,top
C5,152.1,-99.6,90.0,top
C6,146.5,-92.6,270.0,top
C7,144.2,-95.8,0.0,top
C8,141.2,-92.6,0.0,top
C9,146.5,-110.2,270.0,top
R1,144.572,-105.8,90.0,top
R10,146.1,-88.3,0.0,top
R11,145.9,-90.3,0.0,top
R14,141.9,-114.0,90.0,top
R15,138.0,-114.0,90.0,top
R16,135.9,-114.0,90.0,top
R17,133.9,-114.0,90.0,top
R2,146.6,-106.4,270.0,top
R20,144.1,-110.1,90.0,top
R21,141.8,-110.1,90.0,top
R22,139.5,-110.1,90.0,top
R23,132.5,-110.1,90.0,top
R24,130.3,-110.1,90.0,top
R25,127.9,-110.1,90.0,top
R26,134.112,-106.934,90.0,top
R27,132.08,-106.934,90.0,top
R28,142.7,-103.4,90.0,top
R29,140.7,-103.4,90.0,top
R3,148.6,-106.7,270.0,top
R30,138.7,-103.4,90.0,top
R31,129.434,-103.4,90.0,top
R32,127.363,-103.4,90.0,top
R33,125.357,-103.3,90.0,top
R34,129.649,-96.075,90.0,top
R35,139.5,-100.33,270.0,top
R36,140.208,-98.044,0.0,top
R37,127.762,-93.787,0.0,top
R38,149.3,-86.7,180.0,top
R39,149.3,-84.86,180.0,top
R4,150.4,-106.7,270.0,top
R40,149.3,-82.96,180.0,top
R41,127.254,-101.068,180.0,top
R42,127.254,-99.568,180.0,top
R43,132.842,-104.648,180.0,top
R44,127.762,-92.202,0.0,top
R5,152.4,-106.7,270.0,top
R6,146.1,-102.8,90.0,top
R7,148.1,-102.9,90.0,top
R8,150.1,-102.9,90.0,top
R9,152.1,-102.9,90.0,top
U1,134.112,-99.06,270.0,top
U2,149.947,-92.86,270.0,top
